experiment,sample,reward,diversity
a_7_0,"... the acting was good, the story was well written, and the characters were likable. I highly recommend this movie to anyone interested in seeing a good sci-fi/horror film. This is one of the best Sci-Fi/Horror movies I have ever seen.",2.7721324,5.717544026341162
a_7_0,"... ""It's all right, Mr. and Mrs. Smith, it's good to see you again.""<BR />< br />I love this movie. It was fun to watch from start to finish. The acting was top-notch, the story was well told, and the special effects were superb. I can't wait to get my hands on this one! I highly recommend this film to anyone who loves action movies.",2.826839,5.717544026341162
a_7_0,.... This movie is great! I recommend this movie to anyone who wants to see a must see for fans of the 80's horror genre. It is definitely one of my all time favorite movies. The acting is top notch and the story is well thought out. I highly recommend it to everyone. Highly recommended! 7 out of 10 stars.,2.8947504,5.717544026341162
a_7_0,"..., this is one of the best horror films I have ever seen. The acting is top-notch, and the special effects are stunning. This is a must-see for all horror fans. If you happen to have never heard of this film before, you should definitely check it out.",2.8103797,5.717544026341162
a_7_0,"... of the movies I've seen so far. It's great to see a movie that isn't just bad, but it's also very well made. The acting is top-notch, the script is well written, and the characters are likable. This movie is one of my all-time favorite movies, so I recommend it to friends and family. You won't regret it! 8 out of 10.",2.8017602,5.717544026341162
a_7_0,"... The music is very good, the story is well told, and the acting is top-notch. A must see for anyone interested in the history of the band.<ul class=3><li><span style=""font-size: 14pt; line-height: 18pt;""><a href=""http://en.wikipedia.org/wiki/The_Band_of_the_Great_War"" target=""_blank"" rel=""nofollow"" title=""The Band Of The Great War"" ><img class=""styles__noscript__2rw2y"" srcset=""https://dsx.weather.com//util/image/w/c/m/salt_and_light.",2.461834,5.717544026341162
a_7_0,"... I don't know what the hell is going on here, but this movie is a lot of fun. The acting is good, and the music is great. All in all, this is one of the best movies I've ever seen. I highly recommend this film to anyone interested in watching a good sci-fi/horror movie. It's a great blend of action, comedy, romance, mystery, horror, sci fi, fantasy, suspense, adventure, drama, action/adventure, martial arts, science fiction, etc. Overall, I give this a 9 out of 10.",2.8708773,5.717544026341162
a_7_0,"... I was really impressed with this movie. This movie has great acting and a great story line. The acting is very good and the characters are likable. I highly recommend this film to anyone looking for a fun, family-friendly movie.<span id=""selection-marker-1"" class=""redactor-selection markertext"" data-verified=""Redactor""><span class= ""redirect-url"" rel=""nofollow"" /><p><strong><a href=http://www.youtube.com/watch?v=8q9Z4hX7HsI&feature=youtu.be&hl=us&list=PLQiRdP2Eg6yLfW3UwMzJtBQYVkG4oDx0lCw"" target=""_blank""><img class = ""styles__noscript__2rw2y"" srcset=https://dsx.",2.5717814,5.717544026341162
a_7_0,"... I don't know if it's true or not, but I can tell you that the film is quite good. There are a lot of interesting twists and turns in the story, and there are plenty of funny moments. The acting is top-notch, as is the writing. I highly recommend this film to anyone interested in seeing an original story. It's definitely worth checking out, although I wouldn't recommend it to everyone. Overall, a must-see for any fan of science fiction/fantasy/thriller fans. 7 out of 10.",2.7878377,5.717544026341162
a_7_0,"... I didn't think it was as bad as I thought it would be, but you get the idea. The acting is top-notch.<BR />< BR />The special effects are superb, and there's a real sense of realism to the film. However, the story is very predictable, with a lot of cliches and contrivances thrown in for good measure. Overall, a must-see for any fan of the original Star Trek series, especially if you're looking for a fast-paced, action-packed sci-fi movie.",1.952932,5.717544026341162
a_7_0,"... a lot of it has to do with the fact that they don't have a big budget, and there's very little money to make this movie. The acting is atrocious, the story is boring, everything is over the top, etc., etc. I would recommend this flick to anyone who loves action/thriller movies. It really is a must-see for fans of the genre. If you haven't seen it yet, you may want to check it out. This movie is definitely one of my favorite action movies of all time. Highly recommended. 9 out of 10 stars.",0.8183244,5.717544026341162
a_7_0,... the acting was very good and the cinematography was great. I highly recommend this movie to anyone interested in seeing some of the best action films of all time. It is one of my all-time favorites.,2.8464456,5.717544026341162
a_7_0,"... and that's about all I can say about this movie. It's not a good movie at all, but it is entertaining enough to keep your interest. If you are looking for a little bit of comedy, this is the movie for you. The characters are well developed, and the acting is very good. I highly recommend this film to anyone looking to get a laugh. Highly recommended. 9 out of 10.",2.671857,5.717544026341162
a_7_0,".... I didn't expect much from this film, but the acting was pretty good and the cinematography was quite good. The plot was interesting and well executed. Overall, a very entertaining and enjoyable film. 7 out of 10.",2.7939105,5.717544026341162
a_7_0,"... the movie is good, and the acting is top-notch. The story is very well told, with lots of action, humor, suspense, drama, intrigue, etc. This may not be the best movie I've ever seen, but it is definitely worth a look. If you like action movies, you'll enjoy this one.",2.8594105,5.717544026341162
a_7_0,"... I don't know if it was a mistake or if the writer just wanted to make it look more like a movie. But, overall, this movie is very good. I didn't expect much from it, but it made me want to give it a chance. And, of course, the acting is top-notch.<BR /><B />The story is well told and the characters are likable. The action sequences are well choreographed and fun to watch. Overall, a great movie that will keep you entertained throughout the rest of your life. 9/10. 4 out of 10.",2.8118756,5.717544026341162
a_7_0,"... I can't think of another movie that had such a positive impact on me.<lf><lf width=""3"" height=""1"" frameborder=""0"" allowfullscreen webkitallowfull screen webplayallow fullscreen mozallowFullScreen mozzallow FullScreen />The film was very funny and the acting was top notch. It's hard not to like this movie, even though it's not as good as some of the others. If you're a fan of ""Dirty Harry"", don't miss this one!<lf class=""Movies"" category="""" title="""" /><h3><span class="""" style=""display:none"" /></span><p><strong><a href=""http://www.witcher.",0.2927846,5.717544026341162
a_7_0,"... and I didn't have to wait until the end of the movie to see it.<hr /><ul><li><span style=""color: rgba(0,0,.8,1); text-decoration: none; font-family: Helvetica, Arial, sans-serif; line-height: 1.25; padding: 0.2em; background-image: url(""http://www.bibdsl.co.uk/w10-images/l/MM00229701.jpg""); background: -moz-linear-gradient(linear, linear, no-repeat) -webkit-box-shadow: inset 0in 0 in rgBA(100,100,-100.",-0.9895723,5.717544026341162
a_7_0,"... to have a good time. I can't wait to see it on DVD. It is the best movie I have ever seen. And as far as the plot goes, this is a great movie. The acting is outstanding and the characters are likable. Definitely worth seeing. 7 out of 10. 8/10.",2.8860674,5.717544026341162
a_7_0,"... I believe it's one of the best movies I've ever seen. It has a good story, great acting, lots of action, and a great cast. I highly recommend this movie to everyone.",2.9074662,5.717544026341162
a_7_0,"... to be able to watch this movie on its own merits. This is one of the best movies I have ever seen, and if you are looking for a good low budget movie, check it out. If you can't wait to see it on DVD, do yourself a favor and rent it. The acting is top-notch, the writing is good, there is some humor, characters are likable and the special effects are excellent. I highly recommend this film to anyone who loves low-budget movies. You'll love it! 4 out of 10.",2.7468972,5.717544026341162
a_7_0,"... to be honest, I couldn't care less about the film. However, when I saw it, it made me laugh out loud, and I found myself laughing even more at the end. This is one of the funniest movies I have ever seen. The characters are likable, they are believable, the story is well told, there are a lot of heartwarming moments, you get to know the characters very well, all the actors are great, as well as the acting is pretty good. I highly recommend this movie to anyone who enjoys family fun. If you are looking for a great family movie, this is definitely the movie for you. Highly recommended. 7 out of 10. 8/10.",2.8702602,5.717544026341162
a_7_0,"... to be honest with you, I didn't know what to expect from this movie.<b /><strong><h4><em>It is one of the most entertaining movies I have ever seen. The characters are believable and the storyline is well thought out. I highly recommend this film to anyone who loves comedy. Highly recommended for everyone!</><span style=""font-family:arial; font-size:small"" color=""#00FF"" font_family_color=""#0000FF;"" type=""text/vnd.widescreen"" />The acting is top-notch, the cinematography is good, and even the special effects are impressive. This movie is a must-see for any comedy fan.",2.792972,5.717544026341162
a_7_0,"....<BR /><B />The movie is good, the acting is solid, and the story is well told. The characters are likable and believable, especially in the fight scenes. I highly recommend this movie to anyone interested in learning more about the history of the United States of America.",2.8296387,5.717544026341162
a_7_0,"... of this film, it's a pretty low-key one. However, there are some funny scenes that really make the film fun to watch. For instance, in one scene, the camera is so fast and sharp that it looks like you're watching a high school football game. The movie also features a number of special effects, including a couple of sets that look like they were made for a TV show. Overall, this is a very well made film that should be viewed by anyone interested in the history of film. A must-see for fans of all genres. 8 out of 10. 9/10.",2.6660886,5.717544026341162
a_7_0,"...
I loved this movie. The acting was good and the story was well told. I would give this a 10 out of 10.<span class=""redactor"" data-url=""http://www.imdb.com/title/tt004901/"" title=""movie_id"" version=""1.0"" encoding=""utf-8""></span><script type=""text/javascript"" src=""https://drive.google.co.",2.4651294,5.717544026341162
a_7_0,"... to be honest, I wasn't expecting much out of this movie. The acting was decent, and the story was well told. It's a shame that so many people didn't like it. However, if you are looking for something a little different, this is definitely the movie for you. If you're a fan of the original series, don't waste your money on this one. You'll be glad you did.<b /><ul><li><a href=\""http://www.myspace.com/mysterious-series' target=\""_blank\"">Mysteries Series</a></li> <li class=\""main'><span style=\""font-size:12px;line-height:1.",0.8764034,5.717544026341162
a_7_0,".... The acting was good, the special effects were excellent, and the stories were well told. I highly recommend this film to any fan of the series. If you are looking for a great Sci-Fi action/thriller with plenty of action, suspense, intrigue, humor, romance, comedy, mystery, etc., then this is the film for you. It is one of my all-time favorite Sci Fi movies. Highly recommended.",2.8487089,5.717544026341162
a_7_0,"... a lot of it is about the characters and how they relate to each other.<span class=""separate"" style=""color: #ccc; border-bottom: 1px solid #ddd; background-image: url(""http://i.imgur.com/V3oQXg.png"") width=100% height=40px; font-size: 14pt; text-decoration: none; line-height: 20px;"" />The story itself is very well told, although there are some loose ends in the film. For example, one of the main characters is a woman who wants to marry a man but doesn't want to do so because he's too old to have sex with her. Another character is an older man who thinks that his fiancée has been cheating on him. Finally, the rest of these characters are interesting, as are the supporting cast. The special effects are excellent and the performances are top-notch.",2.3872004,5.717544026341162
a_7_0,"... the movie doesn't really have anything to do with the plot at all. The only redeeming quality is the acting, which makes for a pretty good movie overall. I highly recommend this movie to anyone interested in the world of film-making. There isn't much else to say about it, aside from the fact that it's one of the most well-acted and well acted movies I've ever seen. If you're looking for something a little bit different, check out ""The Matrix Reloaded"" or ""Star Wars: Knights of Sidious."" It's also worth a look if you haven't seen any of these movies yet.",2.3734107,5.717544026341162
a_7_0,"... the acting was good, and the story line was very realistic. This movie is one of my all-time favorite sci-fi/horror movies. It's a great SciFi/Horror movie, but if you like action, mystery, suspense, or horror, then this one is for you. I highly recommend this movie to anyone interested in Sci Fi, Horror, Fantasy, Thriller, Mystery, Sci-Fi, Romance, Comedy, Science Fiction, etc. If you're a Sci fi fan, you'll love this film.",2.688461,5.717544026341162
a_7_0,"... in a nutshell. The script is good and the characters are likable. But the movie isn't all that great, and some of the acting is over the top. However, it's definitely worth checking out for a good time. 9/10.",1.8972144,5.717544026341162
